--- Users in Database ---
ID: u1, Username: Citizen_One, Email: user@gmail.com, Password: password123, Role: USER
ID: a1, Username: System_Admin, Email: admin@gmail.coroads@gov.inm, Password: adminpassword, Role: ADMIN
ID: d1, Username: Roads_Department, Email: , Password: password123, Role: CORPORATION
ID: d2, Username: Drainage_Department, Email: water@gov.in, Password: password123, Role: CORPORATION
ID: d3, Username: Traffic_Department, Email: traffic@gov.in, Password: password123, Role: CORPORATION
ID: u3388, Username: TestUser3388, Email: newuser3388@gmail.com, Password: password123, Role: USER
ID: 9ytxcdkdx, Username: yogi, Email: yogihiremath@gamil.com, Password: 0000000, Role: CORPORATION
ID: ma81cbv3r, Username: yogi, Email: yogihiremath018@gamil.com, Password: 0000000, Role: USER
ID: 0kgpkhg0t, Username: yogi, Email: yogihiremath018@gmail.com, Password: 0000000000, Role: USER
ID: zbytxlfcu, Username: yogi, Email: yogihiremath019@gmail.com, Password: 000000, Role: CORPORATION
ID: 9k8rpnaki, Username: yogi, Email: yogihiremath019@gamil.com, Password: 00000000, Role: CORPORATION
